Date;Object type;Object;Comments;Patch;Code;Modifier;Activity code;Update type;Delivered on
20190617;TRT;SPEYCS;Land margin;;DFCX1-497;DH;;M;20190617
20190612;TRT;SPEYSTA;Allocations;[PATCH]/SRC_20190614;;DH;YLAND;M;20190617
20190612;ATB;YLPLNDMRG;;[PATCH]/SRC_20190614;;DH;YLAND;M;20190617
20190612;AMK;YLDP2;Land Developments - Stage;[PATCH]/SRC_20190614;;DH;YLAND;M;20190617
20190612;AOE;YSTGLOT;;[PATCH]/SRC_20190614;;DH;YLAND;M;20190617
20190614;ACLA;YLDM;Land margin;[PATCH]/SRC_20190614;;DH;YLAND;M;20190617
