Date;Object type;Object;Comments;Patch;Code;Modifier;Activity code;Update type;Delivered on
20181102;AML;6213;;[PATCH]/SRC_20181102;DFCX1-62;MB;;M;20181102
20181102;ADC;SPEYSUL;;[PATCH]/SRC_20181102;;MB;;M;20181102
20181101;ADC;SUBYSUL;Transaction restrictions;[PATCH]/SRC_20181102;;MB;;C;20181102
20181101;TRT;SPEYSUL;Transaction restrictions;[PATCH]/SRC_20181102;;MB;;C;20181102
20181031;TRT;SUBYSUL;Set User level access;[PATCH]/SRC_20181102;;MB;;C;20181102
20181031;ACT;YSUL;Set user level access;[PATCH]/SRC_20181102;;MB;;C;20181102
20181102;AFC;YSUL;;[PATCH]/SRC_20181102;;MB;;M;20181102
20181102;AMK;YSUL1;;[PATCH]/SRC_20181102;;MB;;M;20181102
20181102;AWI;YGENSUL;;;;;;C;20181102
